sentence1,relation,relationscore,structure,structurescore
"How to solve the ""What's my name"" security question puzzle","The ""What's my name"" security question puzzle is solving me, how?",3,"Solving the 'What's my name' security question puzzle, how to?",4
How do the tenses and aspects in English correspond temporally to one another?,"The tenses and aspects in English correspond temporally to one another, how do they correspond to me?",3,"Temporally corresponding to one another, how do the tenses and aspects in English?",5
What are the pros and cons of having a life partner from the same field?,"Having a life partner from the same field, what are the pros and cons for me?",3,"Having a life partner from the same field, what are the pros and cons?",5
How do I get my dwarfs inside?,"Inside my dwarfs, how do I get?",3,"Inside, how do I get my dwarfs?",4
"Way to improve ""show me this decimal number to M places, don't use scientific notation""?","""The decimal number can improve me by showing to M places, don't use scientific notation.""",3,How can the decimal number be shown to M places without using scientific notation?,4
"19 simple tables giving ""TeX capacity exceeded"" / ""Too many unprocessed floats""?","""TeX capacity exceeded"" / ""Too many unprocessed floats"" are giving 19 simple tables.",4,"TeX capacity exceeded / ""Too many unprocessed floats"", giving 19 simple tables?""",3
How to install mods for the new Minecraft launcher,The new Minecraft launcher can install mods for me.,2,"For the new Minecraft launcher, how to install mods?",5
How to add fill color to a 2D Graphics object?,A 2D Graphics object can add fill color to me.,3,How to add fill color to a 2D Graphics object?,5
Probability associated with experiencing all outcomes,Experiencing all outcomes can be associated with probability.,2,What is the probability of experiencing all outcomes?,4
"Is the photon energy required to cause an atomic transition $\Delta E+\Delta KE$, where $\Delta E$ is the ""transition energy""?","The ""transition energy"" is $\Delta E+\Delta KE$, where the photon energy required to cause an atomic transition.",4,"Is the photon energy required to cause an atomic transition $\Delta E+\Delta KE$, where $\Delta E$ is the 'transition energy'?",5
How-to: push a GitHub repo to the wordpress plugin servers,The wordpress plugin servers can be pushed to a GitHub repo.,2,"To the WordPress plugin servers, how-to push a GitHub repo?",4
"When a sentence uses an optional plural, should the rest of the sentence treat it as singular or plural?","When a sentence uses an optional plural, the rest of the sentence can treat it as singular or plural.",4,Should the rest of the sentence treat an optional plural as singular or plural when used in a sentence?,5
Escape character in LaTeX,LaTeX can use an escape character.,4,"In LaTeX, what is the escape character?",5
How can I prevent apps from running in the background?,Apps can't prevent me from running in the background.,1,"Running in the background, how can I prevent apps?",2
How many seconds count until bomb detonates in Counter Strike?,How many seconds count until Counter Strike detonates the bomb?,2,"In Counter Strike, how many seconds count until the bomb detonates?",5
How bad is it to use display: none in CSS?,How good is it to use display: none in CSS?,1,Is using display: none in CSS really bad?,3
How to get SSE for predictions using SAS?,How to get SAS for predictions using SSE?,1,"Using SAS, how to get SSE for predictions?",5
Find lost acer android tablet without a tracker installed,Acer android tablet without a tracker installed can find me.,1,"Without a tracker installed, how to find lost Acer Android tablet?",4
How do I quickly create a safe shelter?,How do unsafe shelters quickly create themselves?,1,How to quickly create a safe shelter?,4
How to develop a map with layers in Geoserver?,Geoserver develops me a map with layers.,1,"In Geoserver, how to develop a map with layers?",4
Hyphenation in compound adjectives,Non-hyphenation in compound adjectives.,2,How should compound adjectives be hyphenated?,5
When should end punctuation go inside quotes?,Inside quotes should go end punctuation when they tell you to.,4,"Inside quotes, when should end punctuation go?",4
Strange arrow mark with TikZ edge and anchors.,TikZ edge and anchors with strange arrow mark.,3,"With TikZ edge and anchors, strange arrow mark.",4
Passing a parameter to filter and action functions,Filter and action functions are passed by a parameter.,4,"Filter and action functions, passing a parameter to.",4
Writing a limit so that the subscript goes directly underneath,"So that the subscript goes directly underneath, write a limit.",4,"So that the subscript goes directly underneath, writing a limit.",4
How are random properties chosen for items in Diablo 3?,"In Diablo 3, how are items chosen for random properties?",5,How does Diablo 3 choose random properties for items?,5
Column-wise break of extra wide tables,Extra wide tables break column-wise.,4,"Extra wide tables, column-wise break of.",4
When should a verb be followed by a gerund instead of an infinitive? ,A gerund should be followed by a verb instead of an infinitive when...,2,When should a gerund be used instead of an infinitive after a verb?,3
How to tweet using terminal?,"Using terminal, how to untweet?",4,"Using terminal, how to tweet?",4
What are the things necessary to become good technical architect,"To become a bad technical architect, what are the things unnecessary?",2,What are the necessary things to become a good technical architect?,4
What is the meaning of p values and t values in statistical tests?,P values and t values in statistical tests mean what to the data?,2,"In statistical tests, what do p values and t values mean?",5
Listing the functions defined in a package,The package defined in a list of functions,2,A package's defined functions can be listed how?,5
Where can I find Daedra hearts?,Daedra hearts can find me where?,2,Daedra hearts can be found where?,5
Design and Development Methodologies for the single developer,Single developer for the design and development methodologies,2,Methodologies for design and development by a single developer,5
How can I access the Auction House from out of game?,The Auction House can access me from out of game how?,2,"From out of game, how can I access the Auction House?",5
How do I send SMS from PC through Android Phone or to Android Phone?,"PC through Android Phone or to Android Phone, how do I send SMS?",2,How do I send SMS from PC through Android Phone or to Android Phone?,5
Why shouldn't the uncertainty principle be interpreted as an observer effect?,The observer effect shouldn't be interpreted as what uncertainty principle?,2,Why should the uncertainty principle not be interpreted as an observer effect?,5
Why are continuum fluid mechanics accurate when constituents are discrete objects of finite size?,Discrete objects of finite size are accurate when continuum fluid mechanics are why?,3,"When constituents are discrete objects of finite size, why are continuum fluid mechanics accurate?",5
What's with the Donut/Froyo?,"Froyo/Donut, what's with it?",4,What's with the Froyo/Donut?,5
Speed of Gravity and Speed of Light,Speed of light and speed of gravity,5,Speed of Light and Speed of Gravity,5
what do you do to keep learning?,What do you do to stop learning?,1,"To keep learning, what do you do?",5
Generating a broken or snipped axis in ListPlot,ListPlot in generating a snipped or broken axis,2,"In ListPlot, generating a broken or snipped axis",5
Simplest way to typeset entire document in sans serif (Helvetica),"Helvetica in typesetting the entire document, what's the most complicated way?",2,"Helvetica, simplest way to typeset entire document in sans serif?",5
